mac-address,name,password,email,gender
9ebf2ca29ccf68cb7b3a27358f725fbb09696cf3,Aaravamuthan Pillay,qwerty322,aaravamuthan.pillay.2016@economics.smu.edusg,M
7cd7137094227c1159d5e03274a802c7f18c7236,Aaron Kong,zxcvbn1286,aaron.kong.2016@sis.smu.edusg,M
16e76f319d7a2d99ba8f2a3e382babc9e685fad2,Aarthi Pillay,qwerty323,aarthi.pillay.2014@economics.smu.edusg,M
6657e66d227617a08c0a9752e9ea399bd7a814a3,Aarya Pillay,qwerty324,aarya.pillay.2014@economics.smu.edusg,M
d4188c29c9dce9975df9e305619460fbeb3016e2,Abel Kong,zxcvbn1287,abel.kong.2016@sis.smu.edusg,M
cc265b809994b845b95ea7bf9f9890ebeaacdc83,Abigail Lam,zxcvbn1745,abigail.lam.2014@sis.smu.edusg,F
57f6694139e2fd8fff9012ea4fd2ebb1b5d32dc1,Abner Kong,zxcvbn1288,abner.kong.2016@sis.smu.edusg,M
bde904b6dd59a70e00e2906ad379b82f6cb754a5,Abraham Kong,zxcvbn1289,abraham.kong.2016@sis.smu.edusg,M
d3ce40e1c62625adba97de86101753c48e4f1012,Ace Tan,zxcvbn2269,ace.tan.2016@accountancy.smu.edusg,M
716248a6da25729dff0083ac33e79e296e6134e9,Ada Lam,zxcvbn1746,ada.lam.2015@sis.smu.edusg,F
fd7f8fad3119d12f99d2199ad246cbede6e8e524,Adah Lam,zxcvbn1747,adah.lam.2014@sis.smu.edusg,F
5a651d325e7d1b488feea5be363e2566f3fe8886,Adalbert Kong,zxcvbn1290,adalbert.kong.2016@sis.smu.edusg,M
7fe0509883a75fb1d6f148733fe65658a1e03b55,Adaline Lam,zxcvbn1748,adaline.lam.2014@sis.smu.edusg,F
f4a8dfa067f8a1e4036044ceb1ae790d88ecd311,Adam Kong,zxcvbn1291,adam.kong.2016@sis.smu.edusg,M
18a483d6675b2909c19e80dee28e214865aa8ab1,Adela Lam,zxcvbn1749,adela.lam.2015@sis.smu.edusg,F
36b1acbb521aae442d129f595b6da0da9b805364,Adelaide Lam,zxcvbn1750,adelaide.lam.2016@sis.smu.edusg,F
89e06d395c279cc31068cbd914056ea1381efd7e,Adelbert Kong,zxcvbn1292,adelbert.kong.2016@sis.smu.edusg,M
783b818f80304bb560ef439dcbd8ce9fdc181e0d,Adelia Lam,zxcvbn1751,adelia.lam.2014@sis.smu.edusg,F
7ad328e1c6ecb92bd5d32326a05e7883883cb0b2,Adeline Lam,zxcvbn1752,adeline.lam.2016@sis.smu.edusg,F
be81766c3366ae754e31f91bddf1ba274b619847,Adrian Kong,zxcvbn1293,adrian.kong.2013@sis.smu.edusg,M
