mac-address,name,password,email,gender
02e66bb05945cbc65122c753a9ee3df2755ac0bc,Aaravamuthan Pillay,qwerty322,aaravamuthan.pillay.2016@economics.smu.edu.sg,M
02e83a44cedc9bf22c692a53041bbe4bed5ea327,Aaron Kong,zxcvbn1286,aaron.kong.2016@sis.smu.edu.sg,M
030c85336d8683cad3b77d69c9046baac7df07f1,Aarthi Pillay,qwerty323,aarthi.pillay.2014@economics.smu.edu.sg,M
040b2dce143b8116fee33053088244b4353f49c7,Aarya Pillay,qwerty324,aarya.pillay.2014@economics.smu.edu.sg,M
04cd7119a7c745c4eb7c2a2d8d9428cf39c4d69a,Abel Kong,zxcvbn1287,abel.kong.2016@sis.smu.edu.sg,M
051174c2cf98628e13af4d595cc7b7a48c2d25a1,Abigail Lam,zxcvbn1745,abigail.lam.2014@sis.smu.edu.sg,F
061c8f7ea6c8fea217462a331bfee92c5e3178a5,Abner Kong,zxcvbn1288,abner.kong.2016@sis.smu.edu.sg,M
06e1f4985ab594cde27a7f6abe52a76159c5dd68,Abraham Kong,zxcvbn1289,abraham.kong.2016@sis.smu.edu.sg,M
075bfbff82d1df6833d76241be32dcb716bbd4a3,Ace Tan,zxcvbn2269,ace.tan.2016@accountancy.smu.edu.sg,M
07c55ec87c91b6a639311df466ef58b9384742e5,Ada Lam,zxcvbn1746,ada.lam.2015@sis.smu.edu.sg,F
083515a2350ed77d87d49704131ca63606e62b34,Adah Lam,zxcvbn1747,adah.lam.2014@sis.smu.edu.sg,F
08488261dfefb6e27fc34c93c3f9a7bccd8d0a1f,Adalbert Kong,zxcvbn1290,adalbert.kong.2016@sis.smu.edu.sg,M
09664ffecab3da623edf4a0f56512d6f070d64f7,Adaline Lam,zxcvbn1748,adaline.lam.2014@sis.smu.edu.sg,F
0989719695ffb70d69f356f9648826fe22c6d18c,Adam Kong,zxcvbn1291,adam.kong.2016@sis.smu.edu.sg,M
0a0afad7280dc0491d72749a2285571323f49de8,Adela Lam,zxcvbn1749,adela.lam.2015@sis.smu.edu.sg,F
0a0c8c82299cbb77ff7f636ada6c04ac7226d281,Adelaide Lam,zxcvbn1750,adelaide.lam.2016@sis.smu.edu.sg,F
0b4accd07d924e320f324f4361f534d9ab75e974,Adelbert Kong,zxcvbn1292,adelbert.kong.2016@sis.smu.edu.sg,M
0c52100dbdb8fc9eeed6a37768fd19324f1f0009,Adelia Lam,zxcvbn1751,adelia.lam.2014@sis.smu.edu.sg,F
0c89f05415548275e273f3348c84214ca7184261,Adeline Lam,zxcvbn1752,adeline.lam.2016@sis.smu.edu.sg,F
0cce7cfdbee1408ce3a2d2e50686329136c0db4a,Adrian Kong,zxcvbn1293,adrian.kong.2013@sis.smu.edu.sg,M
0e143cab389692c1cef2d26f2225c9591344c361,Adriana Lam,zxcvbn1753,adriana.lam.2016@sis.smu.edu.sg,F
